date,open,high,low,close,volume,average,barCount
2025-05-09,198.95,200.53,197.53,198.55,-1.0,-1.0,-1
2025-05-12,210.97,211.24,206.75,210.81,-1.0,-1.0,-1
2025-05-13,210.43,213.4,209.11,212.85,-1.0,-1.0,-1
2025-05-14,212.37,213.94,210.59,212.42,-1.0,-1.0,-1
2025-05-15,211.0,212.97,209.53,211.43,-1.0,-1.0,-1
2025-05-16,212.43,212.5,209.77,211.19,-1.0,-1.0,-1
2025-05-19,207.94,209.48,204.26,208.72,-1.0,-1.0,-1
2025-05-20,207.71,208.48,205.03,206.87,-1.0,-1.0,-1
2025-05-21,205.13,207.05,200.71,202.05,-1.0,-1.0,-1
2025-05-22,200.72,202.68,199.71,201.38,-1.0,-1.0,-1
2025-05-23,193.64,197.71,193.48,195.31,-1.0,-1.0,-1
2025-05-27,198.23,200.74,197.43,200.19,-1.0,-1.0,-1
2025-05-28,200.53,202.72,199.89,200.43,-1.0,-1.0,-1
2025-05-29,203.59,203.72,198.51,199.94,-1.0,-1.0,-1
2025-05-30,199.35,201.96,196.78,200.65,-1.0,-1.0,-1
2025-06-02,200.21,202.13,200.12,201.79,-1.0,-1.0,-1
2025-06-03,201.35,203.77,200.95,203.32,-1.0,-1.0,-1
2025-06-04,202.99,206.23,202.19,202.86,-1.0,-1.0,-1
2025-06-05,203.59,204.76,200.14,200.58,-1.0,-1.0,-1
2025-06-06,202.95,205.69,202.06,203.95,-1.0,-1.0,-1
2025-06-09,204.39,206.01,200.03,201.44,-1.0,-1.0,-1
2025-06-10,200.61,204.34,200.59,202.76,-1.0,-1.0,-1
2025-06-11,203.47,204.5,198.41,198.85,-1.0,-1.0,-1
2025-06-12,199.05,199.68,197.36,199.19,-1.0,-1.0,-1
2025-06-13,199.74,200.36,195.77,196.46,-1.0,-1.0,-1
2025-06-16,197.25,198.69,196.56,198.4,-1.0,-1.0,-1
2025-06-17,197.25,198.39,195.21,195.62,-1.0,-1.0,-1
2025-06-18,195.9,197.57,195.07,196.24,-1.0,-1.0,-1
2025-06-20,198.24,201.7,196.85,200.93,-1.0,-1.0,-1
2025-06-23,201.55,202.3,198.97,201.56,-1.0,-1.0,-1
2025-06-24,202.59,203.44,200.2,200.33,-1.0,-1.0,-1
2025-06-25,201.44,203.66,200.63,201.59,-1.0,-1.0,-1
2025-06-26,201.38,202.62,199.45,200.98,-1.0,-1.0,-1
2025-06-27,201.88,203.21,200.43,201.09,-1.0,-1.0,-1
2025-06-30,202.05,207.39,199.26,205.09,-1.0,-1.0,-1
2025-07-01,206.67,210.19,206.16,207.78,-1.0,-1.0,-1
2025-07-02,208.93,213.34,208.13,212.38,-1.0,-1.0,-1
2025-07-03,212.13,214.65,211.82,213.46,-1.0,-1.0,-1
2025-07-07,212.65,216.24,208.81,209.94,-1.0,-1.0,-1
2025-07-08,210.05,211.43,208.45,210.04,-1.0,-1.0,-1
2025-07-09,209.41,211.3,207.22,211.11,-1.0,-1.0,-1
2025-07-10,210.46,213.49,210.17,212.43,-1.0,-1.0,-1
2025-07-11,210.56,212.13,209.86,211.07,-1.0,-1.0,-1
2025-07-14,209.93,210.92,207.53,208.55,-1.0,-1.0,-1
2025-07-15,209.31,211.89,208.93,209.05,-1.0,-1.0,-1
2025-07-16,210.3,212.4,208.64,210.19,-1.0,-1.0,-1
2025-07-17,210.69,211.8,209.59,210.1,-1.0,-1.0,-1
2025-07-18,210.79,211.79,209.7,211.23,-1.0,-1.0,-1
2025-07-21,212.08,215.78,211.65,212.54,-1.0,-1.0,-1
2025-07-22,213.21,214.65,212.23,214.38,-1.0,-1.0,-1
2025-07-23,215.05,215.12,212.4,214.3,-1.0,-1.0,-1
2025-07-24,213.95,215.68,213.53,213.75,-1.0,-1.0,-1
2025-07-25,214.69,215.24,213.4,213.93,-1.0,-1.0,-1
2025-07-28,213.99,214.85,213.06,214.05,-1.0,-1.0,-1
2025-07-29,214.18,214.81,210.82,211.35,-1.0,-1.0,-1
2025-07-30,211.91,212.37,207.71,209.06,-1.0,-1.0,-1
2025-07-31,208.37,209.85,207.16,207.6,-1.0,-1.0,-1
2025-08-01,210.87,213.56,201.5,202.27,-1.0,-1.0,-1
2025-08-04,204.5,207.88,201.67,203.3,-1.0,-1.0,-1
2025-08-05,203.42,205.34,202.16,202.94,-1.0,-1.0,-1
2025-08-06,205.63,215.38,205.6,213.26,-1.0,-1.0,-1
2025-08-07,218.84,220.85,216.57,220.15,-1.0,-1.0,-1
2025-08-08,220.83,230.99,219.26,229.37,-1.0,-1.0,-1
2025-08-11,227.9,229.55,224.76,227.21,-1.0,-1.0,-1
2025-08-12,228.0,230.79,227.09,229.66,-1.0,-1.0,-1
2025-08-13,231.03,234.99,230.43,233.28,-1.0,-1.0,-1
2025-08-14,234.06,235.11,230.86,232.81,-1.0,-1.0,-1
2025-08-15,233.89,234.22,229.33,231.63,-1.0,-1.0,-1
2025-08-18,231.72,233.13,230.11,230.89,-1.0,-1.0,-1
2025-08-19,231.27,232.87,229.36,230.53,-1.0,-1.0,-1
2025-08-20,230.04,230.45,225.78,225.99,-1.0,-1.0,-1
2025-08-21,226.34,226.51,223.78,224.92,-1.0,-1.0,-1
2025-08-22,226.17,229.09,225.43,227.76,-1.0,-1.0,-1
2025-08-25,226.47,229.31,226.25,227.17,-1.0,-1.0,-1
2025-08-26,226.93,229.43,224.69,229.34,-1.0,-1.0,-1
