date,open,high,low,close,volume,average,barCount
2025-05-09,439.65,440.56,435.87,438.78,-1.0,-1.0,-1
2025-05-12,445.96,449.27,439.83,449.22,-1.0,-1.0,-1
2025-05-13,447.75,450.64,445.37,448.93,-1.0,-1.0,-1
2025-05-14,448.14,453.86,447.99,452.88,-1.0,-1.0,-1
2025-05-15,450.76,456.18,450.43,453.09,-1.0,-1.0,-1
2025-05-16,452.52,454.34,448.73,454.22,-1.0,-1.0,-1
2025-05-19,450.88,459.57,450.77,458.79,-1.0,-1.0,-1
2025-05-20,455.31,458.34,454.36,458.3,-1.0,-1.0,-1
2025-05-21,454.83,457.78,451.85,452.43,-1.0,-1.0,-1
2025-05-22,454.95,460.27,453.9,454.95,-1.0,-1.0,-1
2025-05-23,449.75,453.65,448.93,450.3,-1.0,-1.0,-1
2025-05-27,456.35,460.89,456.23,460.66,-1.0,-1.0,-1
2025-05-28,460.96,462.53,456.93,457.39,-1.0,-1.0,-1
2025-05-29,461.69,461.74,455.3,458.51,-1.0,-1.0,-1
2025-05-30,459.85,461.65,455.52,459.59,-1.0,-1.0,-1
2025-06-02,457.29,462.07,456.99,461.99,-1.0,-1.0,-1
2025-06-03,461.47,464.13,460.88,463.14,-1.0,-1.0,-1
2025-06-04,464.06,465.7,463.02,463.86,-1.0,-1.0,-1
2025-06-05,464.8,469.64,464.08,467.66,-1.0,-1.0,-1
2025-06-06,470.0,473.34,468.78,470.2,-1.0,-1.0,-1
2025-06-09,469.85,473.43,468.62,472.73,-1.0,-1.0,-1
2025-06-10,471.19,472.77,466.99,470.95,-1.0,-1.0,-1
2025-06-11,470.36,475.47,469.67,472.88,-1.0,-1.0,-1
2025-06-12,475.02,480.42,473.61,479.0,-1.0,-1.0,-1
2025-06-13,476.23,479.07,472.83,474.96,-1.0,-1.0,-1
2025-06-16,475.36,480.68,475.09,479.05,-1.0,-1.0,-1
2025-06-17,475.13,478.72,474.11,478.0,-1.0,-1.0,-1
2025-06-18,478.3,480.98,475.27,480.2,-1.0,-1.0,-1
2025-06-20,482.18,483.42,476.87,477.2,-1.0,-1.0,-1
2025-06-23,477.93,487.72,472.56,485.96,-1.0,-1.0,-1
2025-06-24,488.97,491.83,486.8,490.21,-1.0,-1.0,-1
2025-06-25,491.84,494.53,489.43,492.39,-1.0,-1.0,-1
2025-06-26,492.87,498.04,492.82,497.38,-1.0,-1.0,-1
2025-06-27,497.6,499.29,493.8,495.95,-1.0,-1.0,-1
2025-06-30,497.11,500.6,495.34,497.2,-1.0,-1.0,-1
2025-07-01,496.38,498.06,490.98,492.06,-1.0,-1.0,-1
2025-07-02,489.74,493.48,488.65,490.99,-1.0,-1.0,-1
2025-07-03,493.85,500.12,493.33,498.69,-1.0,-1.0,-1
2025-07-07,497.38,498.72,495.21,497.78,-1.0,-1.0,-1
2025-07-08,497.07,498.16,494.13,496.66,-1.0,-1.0,-1
2025-07-09,500.14,506.76,499.76,503.48,-1.0,-1.0,-1
2025-07-10,503.05,504.45,497.78,501.54,-1.0,-1.0,-1
2025-07-11,498.32,505.04,497.79,503.18,-1.0,-1.0,-1
2025-07-14,501.51,503.96,501.02,503.02,-1.0,-1.0,-1
2025-07-15,503.15,508.3,502.56,505.69,-1.0,-1.0,-1
2025-07-16,504.77,506.69,501.88,505.6,-1.0,-1.0,-1
2025-07-17,505.86,513.37,505.72,511.73,-1.0,-1.0,-1
2025-07-18,514.29,514.51,508.33,510.0,-1.0,-1.0,-1
2025-07-21,506.87,512.08,505.61,510.08,-1.0,-1.0,-1
2025-07-22,510.93,511.15,505.27,505.48,-1.0,-1.0,-1
2025-07-23,506.79,506.79,500.71,505.97,-1.0,-1.0,-1
2025-07-24,508.77,513.21,507.33,510.94,-1.0,-1.0,-1
2025-07-25,512.32,518.28,510.39,513.71,-1.0,-1.0,-1
2025-07-28,514.11,515.01,510.12,512.45,-1.0,-1.0,-1
2025-07-29,515.75,517.62,511.56,512.79,-1.0,-1.0,-1
2025-07-30,515.53,515.96,509.46,514.0,-1.0,-1.0,-1
2025-07-31,555.12,555.37,531.92,533.57,-1.0,-1.0,-1
2025-08-01,535.16,535.8,520.87,524.0,-1.0,-1.0,-1
2025-08-04,528.15,538.24,528.12,535.51,-1.0,-1.0,-1
2025-08-05,537.12,537.47,527.31,527.74,-1.0,-1.0,-1
2025-08-06,530.74,531.66,524.2,524.84,-1.0,-1.0,-1
2025-08-07,526.57,528.03,517.57,520.99,-1.0,-1.0,-1
2025-08-08,522.15,524.54,519.42,522.08,-1.0,-1.0,-1
2025-08-11,522.25,527.55,519.76,521.85,-1.0,-1.0,-1
2025-08-12,524.0,530.96,522.7,529.38,-1.0,-1.0,-1
2025-08-13,532.25,532.66,519.37,520.61,-1.0,-1.0,-1
2025-08-14,522.45,525.94,520.14,522.47,-1.0,-1.0,-1
