date,open,high,low,close,volume,average,barCount
2025-05-09,290.27,307.0,290.03,298.28,-1.0,-1.0,-1
2025-05-12,321.94,322.18,311.55,318.61,-1.0,-1.0,-1
2025-05-13,319.99,337.58,316.83,333.93,-1.0,-1.0,-1
2025-05-14,342.45,349.99,337.0,347.46,-1.0,-1.0,-1
2025-05-15,340.32,346.11,334.74,342.75,-1.0,-1.0,-1
2025-05-16,346.2,351.63,342.33,349.79,-1.0,-1.0,-1
2025-05-19,336.34,342.99,333.44,341.94,-1.0,-1.0,-1
2025-05-20,347.93,354.98,341.66,343.81,-1.0,-1.0,-1
2025-05-21,344.47,347.31,332.23,334.53,-1.0,-1.0,-1
2025-05-22,331.93,347.27,331.41,340.98,-1.0,-1.0,-1
2025-05-23,337.49,343.18,333.21,339.35,-1.0,-1.0,-1
2025-05-27,347.24,363.76,347.23,362.85,-1.0,-1.0,-1
2025-05-28,364.91,364.91,355.92,356.87,-1.0,-1.0,-1
2025-05-29,365.29,367.69,356.0,358.37,-1.0,-1.0,-1
2025-05-30,355.57,363.65,345.29,345.76,-1.0,-1.0,-1
2025-06-02,343.53,348.02,333.33,342.69,-1.0,-1.0,-1
2025-06-03,346.61,355.4,343.06,344.42,-1.0,-1.0,-1
2025-06-04,345.1,345.53,327.35,332.09,-1.0,-1.0,-1
2025-06-05,322.44,324.48,273.22,284.82,-1.0,-1.0,-1
2025-06-06,298.84,305.49,291.17,295.13,-1.0,-1.0,-1
2025-06-09,285.96,309.83,281.86,308.66,-1.0,-1.0,-1
2025-06-10,314.96,327.82,310.69,326.15,-1.0,-1.0,-1
2025-06-11,334.39,335.44,322.76,326.5,-1.0,-1.0,-1
2025-06-12,323.08,332.54,316.88,319.18,-1.0,-1.0,-1
2025-06-13,313.98,332.97,313.29,325.35,-1.0,-1.0,-1
2025-06-16,331.31,332.03,326.47,329.13,-1.0,-1.0,-1
2025-06-17,326.02,327.22,314.76,316.27,-1.0,-1.0,-1
2025-06-18,317.32,329.31,315.49,322.1,-1.0,-1.0,-1
2025-06-20,327.88,332.35,317.78,322.17,-1.0,-1.0,-1
2025-06-23,327.6,357.53,327.44,348.65,-1.0,-1.0,-1
2025-06-24,356.2,356.2,340.47,340.49,-1.0,-1.0,-1
2025-06-25,342.71,342.87,320.41,327.59,-1.0,-1.0,-1
2025-06-26,324.63,331.05,323.65,325.83,-1.0,-1.0,-1
2025-06-27,324.58,329.32,317.49,323.8,-1.0,-1.0,-1
2025-06-30,319.93,325.56,316.61,317.62,-1.0,-1.0,-1
2025-07-01,298.38,305.87,293.28,300.7,-1.0,-1.0,-1
2025-07-02,312.58,316.82,303.83,315.66,-1.0,-1.0,-1
2025-07-03,318.04,318.44,312.79,315.19,-1.0,-1.0,-1
2025-07-07,291.35,296.16,288.79,293.96,-1.0,-1.0,-1
2025-07-08,297.03,304.03,294.37,297.84,-1.0,-1.0,-1
2025-07-09,297.48,300.09,293.55,295.83,-1.0,-1.0,-1
2025-07-10,300.1,310.48,300.0,309.94,-1.0,-1.0,-1
2025-07-11,307.69,314.08,305.67,313.5,-1.0,-1.0,-1
2025-07-14,317.65,322.57,312.67,316.89,-1.0,-1.0,-1
2025-07-15,319.71,321.16,310.51,310.72,-1.0,-1.0,-1
2025-07-16,312.81,323.45,312.68,321.68,-1.0,-1.0,-1
2025-07-17,323.13,324.33,317.07,319.39,-1.0,-1.0,-1
2025-07-18,321.88,330.89,321.45,329.56,-1.0,-1.0,-1
2025-07-21,334.36,337.98,326.9,328.53,-1.0,-1.0,-1
2025-07-22,329.9,335.41,321.56,332.09,-1.0,-1.0,-1
2025-07-23,330.93,336.16,328.69,333.0,-1.0,-1.0,-1
2025-07-24,310.1,310.14,300.43,305.08,-1.0,-1.0,-1
2025-07-25,308.76,323.63,308.05,316.11,-1.0,-1.0,-1
2025-07-28,318.13,330.47,315.73,325.58,-1.0,-1.0,-1
2025-07-29,325.63,326.18,318.25,321.37,-1.0,-1.0,-1
2025-07-30,322.16,324.45,311.63,319.1,-1.0,-1.0,-1
2025-07-31,319.61,321.35,306.11,308.19,-1.0,-1.0,-1
2025-08-01,306.18,309.3,297.83,302.69,-1.0,-1.0,-1
2025-08-04,309.06,312.13,303.18,309.28,-1.0,-1.0,-1
2025-08-05,308.95,312.43,305.54,308.62,-1.0,-1.0,-1
2025-08-06,307.86,320.47,306.98,319.95,-1.0,-1.0,-1
2025-08-07,319.62,322.39,316.17,322.21,-1.0,-1.0,-1
2025-08-08,321.41,334.98,321.01,329.66,-1.0,-1.0,-1
2025-08-11,334.99,346.63,334.19,339.19,-1.0,-1.0,-1
2025-08-12,345.13,345.27,332.99,340.75,-1.0,-1.0,-1
2025-08-13,341.61,348.99,338.2,339.37,-1.0,-1.0,-1
2025-08-14,335.68,340.46,330.4,335.58,-1.0,-1.0,-1
2025-08-15,337.52,339.31,327.03,330.6,-1.0,-1.0,-1
2025-08-18,329.65,336.26,329.61,335.15,-1.0,-1.0,-1
2025-08-19,335.79,340.54,327.84,329.33,-1.0,-1.0,-1
2025-08-20,329.23,331.36,314.62,323.91,-1.0,-1.0,-1
2025-08-21,322.05,324.89,318.68,320.08,-1.0,-1.0,-1
2025-08-22,321.63,340.18,319.67,339.96,-1.0,-1.0,-1
2025-08-25,338.95,349.53,335.03,346.6,-1.0,-1.0,-1
2025-08-26,344.95,351.89,343.72,351.72,-1.0,-1.0,-1
2025-08-27,351.88,355.38,349.16,349.63,-1.0,-1.0,-1
2025-08-28,350.99,353.52,340.27,345.85,-1.0,-1.0,-1
